Frame,Total_Veh,Turismos,Motos,Buses,Camiones,Densidad_k,LOS,Riesgos
96,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:49
97,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:49
98,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:49
99,1,1,0,0,0,38.069757965901985,D (Inestable),⚠️ STOP ID:49
100,1,1,0,0,0,38.069757965901985,D (Inestable),⚠️ STOP ID:49
101,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:2
102,4,3,0,0,1,152.27903186360794,F (Colapso),
103,2,2,0,0,0,76.13951593180397,E (Capacidad),
104,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:83
105,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
106,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:83
107,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
108,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
109,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:49, ⚠️ STOP ID:83"
110,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
111,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:83
112,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:83"
113,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:83"
114,4,3,0,0,1,152.27903186360794,F (Colapso),⚠️ STOP ID:2
115,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:49"
116,3,2,0,0,1,114.20927389770596,F (Colapso),"⚠️ STOP ID:30, ⚠️ STOP ID:49"
117,3,2,0,0,1,114.20927389770596,F (Colapso),"⚠️ STOP ID:30, ⚠️ STOP ID:49"
118,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:49
119,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:49
120,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:49"
121,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:49, ⚠️ STOP ID:83"
122,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:83"
123,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:2, ⚠️ STOP ID:83"
124,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
125,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:83
126,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:83"
127,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:83"
128,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:83"
129,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:49, ⚠️ STOP ID:83"
130,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:83
131,5,5,0,0,0,190.3487898295099,F (Colapso),
132,5,5,0,0,0,190.3487898295099,F (Colapso),
133,5,5,0,0,0,190.3487898295099,F (Colapso),
134,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:2
135,4,4,0,0,0,152.27903186360794,F (Colapso),
136,4,4,0,0,0,152.27903186360794,F (Colapso),
137,4,4,0,0,0,152.27903186360794,F (Colapso),
138,4,4,0,0,0,152.27903186360794,F (Colapso),
139,4,4,0,0,0,152.27903186360794,F (Colapso),
140,2,2,0,0,0,76.13951593180397,E (Capacidad),
141,3,3,0,0,0,114.20927389770596,F (Colapso),
142,4,4,0,0,0,152.27903186360794,F (Colapso),
143,4,4,0,0,0,152.27903186360794,F (Colapso),
144,5,4,0,0,1,190.3487898295099,F (Colapso),
145,5,4,0,0,1,190.3487898295099,F (Colapso),
146,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:2
147,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:2
148,3,2,0,0,1,114.20927389770596,F (Colapso),
149,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:83
150,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:83
151,3,3,0,0,0,114.20927389770596,F (Colapso),
152,3,3,0,0,0,114.20927389770596,F (Colapso),
153,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:49
154,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:2, ⚠️ STOP ID:49"
155,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:49"
156,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:2, ⚠️ STOP ID:49"
157,3,2,0,0,1,114.20927389770596,F (Colapso),"⚠️ STOP ID:2, ⚠️ STOP ID:30, ⚠️ STOP ID:49"
158,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:30
159,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:2
160,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:49
161,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:112
162,5,4,0,0,1,190.3487898295099,F (Colapso),"⚠️ STOP ID:112, ⚠️ STOP ID:30"
163,5,4,0,0,1,190.3487898295099,F (Colapso),"⚠️ STOP ID:112, ⚠️ STOP ID:30"
164,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:112, ⚠️ STOP ID:2"
165,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:112, ⚠️ STOP ID:2"
166,3,3,0,0,0,114.20927389770596,F (Colapso),
167,5,5,0,0,0,190.3487898295099,F (Colapso),⚠️ STOP ID:112
168,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:30
169,4,4,0,0,0,152.27903186360794,F (Colapso),
170,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:30
171,5,4,0,0,1,190.3487898295099,F (Colapso),⚠️ STOP ID:30
172,4,4,0,0,0,152.27903186360794,F (Colapso),
173,5,4,0,0,1,190.3487898295099,F (Colapso),
174,4,4,0,0,0,152.27903186360794,F (Colapso),
175,2,2,0,0,0,76.13951593180397,E (Capacidad),
176,2,2,0,0,0,76.13951593180397,E (Capacidad),
177,1,1,0,0,0,38.069757965901985,D (Inestable),
178,1,1,0,0,0,38.069757965901985,D (Inestable),
179,1,1,0,0,0,38.069757965901985,D (Inestable),
180,0,0,0,0,0,0.0,A (Fluido),
181,0,0,0,0,0,0.0,A (Fluido),
182,0,0,0,0,0,0.0,A (Fluido),
183,3,3,0,0,0,114.20927389770596,F (Colapso),
184,2,2,0,0,0,76.13951593180397,E (Capacidad),
185,1,1,0,0,0,38.069757965901985,D (Inestable),
186,2,2,0,0,0,76.13951593180397,E (Capacidad),
187,2,2,0,0,0,76.13951593180397,E (Capacidad),
188,3,3,0,0,0,114.20927389770596,F (Colapso),
189,3,3,0,0,0,114.20927389770596,F (Colapso),
190,3,3,0,0,0,114.20927389770596,F (Colapso),
191,3,3,0,0,0,114.20927389770596,F (Colapso),
192,3,3,0,0,0,114.20927389770596,F (Colapso),
193,2,2,0,0,0,76.13951593180397,E (Capacidad),
194,2,2,0,0,0,76.13951593180397,E (Capacidad),
195,2,2,0,0,0,76.13951593180397,E (Capacidad),
196,2,2,0,0,0,76.13951593180397,E (Capacidad),
197,2,2,0,0,0,76.13951593180397,E (Capacidad),
198,2,2,0,0,0,76.13951593180397,E (Capacidad),
199,2,2,0,0,0,76.13951593180397,E (Capacidad),
200,1,1,0,0,0,38.069757965901985,D (Inestable),
201,2,2,0,0,0,76.13951593180397,E (Capacidad),
202,2,2,0,0,0,76.13951593180397,E (Capacidad),
203,2,2,0,0,0,76.13951593180397,E (Capacidad),
204,2,2,0,0,0,76.13951593180397,E (Capacidad),
205,2,2,0,0,0,76.13951593180397,E (Capacidad),
206,2,2,0,0,0,76.13951593180397,E (Capacidad),
207,2,2,0,0,0,76.13951593180397,E (Capacidad),
208,2,2,0,0,0,76.13951593180397,E (Capacidad),
209,2,2,0,0,0,76.13951593180397,E (Capacidad),
210,0,0,0,0,0,0.0,A (Fluido),
211,1,1,0,0,0,38.069757965901985,D (Inestable),
212,1,1,0,0,0,38.069757965901985,D (Inestable),
213,2,2,0,0,0,76.13951593180397,E (Capacidad),
214,2,2,0,0,0,76.13951593180397,E (Capacidad),
215,2,2,0,0,0,76.13951593180397,E (Capacidad),
216,2,2,0,0,0,76.13951593180397,E (Capacidad),
217,2,2,0,0,0,76.13951593180397,E (Capacidad),
218,2,2,0,0,0,76.13951593180397,E (Capacidad),
219,2,2,0,0,0,76.13951593180397,E (Capacidad),
220,2,2,0,0,0,76.13951593180397,E (Capacidad),
221,2,2,0,0,0,76.13951593180397,E (Capacidad),
222,2,2,0,0,0,76.13951593180397,E (Capacidad),
223,2,2,0,0,0,76.13951593180397,E (Capacidad),
224,2,2,0,0,0,76.13951593180397,E (Capacidad),
