Frame,Total,Turismos,Motos,Buses,Camiones,Bicis,Densidad,LOS
125,0,0,0,0,0,0,0.0,A (Libre)
126,0,0,0,0,0,0,0.0,A (Libre)
127,0,0,0,0,0,0,0.0,A (Libre)
128,0,0,0,0,0,0,0.0,A (Libre)
129,0,0,0,0,0,0,0.0,A (Libre)
130,0,0,0,0,0,0,0.0,A (Libre)
131,0,0,0,0,0,0,0.0,A (Libre)
132,0,0,0,0,0,0,0.0,A (Libre)
133,0,0,0,0,0,0,0.0,A (Libre)
134,0,0,0,0,0,0,0.0,A (Libre)
135,0,0,0,0,0,0,0.0,A (Libre)
136,0,0,0,0,0,0,0.0,A (Libre)
137,0,0,0,0,0,0,0.0,A (Libre)
138,0,0,0,0,0,0,0.0,A (Libre)
139,0,0,0,0,0,0,0.0,A (Libre)
140,0,0,0,0,0,0,0.0,A (Libre)
141,0,0,0,0,0,0,0.0,A (Libre)
142,0,0,0,0,0,0,0.0,A (Libre)
143,0,0,0,0,0,0,0.0,A (Libre)
144,0,0,0,0,0,0,0.0,A (Libre)
145,0,0,0,0,0,0,0.0,A (Libre)
146,0,0,0,0,0,0,0.0,A (Libre)
147,0,0,0,0,0,0,0.0,A (Libre)
148,0,0,0,0,0,0,0.0,A (Libre)
149,0,0,0,0,0,0,0.0,A (Libre)
150,0,0,0,0,0,0,0.0,A (Libre)
151,0,0,0,0,0,0,0.0,A (Libre)
152,0,0,0,0,0,0,0.0,A (Libre)
153,0,0,0,0,0,0,0.0,A (Libre)
154,0,0,0,0,0,0,0.0,A (Libre)
155,0,0,0,0,0,0,0.0,A (Libre)
156,0,0,0,0,0,0,0.0,A (Libre)
157,0,0,0,0,0,0,0.0,A (Libre)
158,0,0,0,0,0,0,0.0,A (Libre)
159,0,0,0,0,0,0,0.0,A (Libre)
160,0,0,0,0,0,0,0.0,A (Libre)
161,0,0,0,0,0,0,0.0,A (Libre)
162,0,0,0,0,0,0,0.0,A (Libre)
163,0,0,0,0,0,0,0.0,A (Libre)
164,0,0,0,0,0,0,0.0,A (Libre)
165,0,0,0,0,0,0,0.0,A (Libre)
166,0,0,0,0,0,0,0.0,A (Libre)
167,0,0,0,0,0,0,0.0,A (Libre)
168,0,0,0,0,0,0,0.0,A (Libre)
169,0,0,0,0,0,0,0.0,A (Libre)
170,0,0,0,0,0,0,0.0,A (Libre)
171,0,0,0,0,0,0,0.0,A (Libre)
172,0,0,0,0,0,0,0.0,A (Libre)
173,0,0,0,0,0,0,0.0,A (Libre)
174,0,0,0,0,0,0,0.0,A (Libre)
175,0,0,0,0,0,0,0.0,A (Libre)
176,0,0,0,0,0,0,0.0,A (Libre)
177,0,0,0,0,0,0,0.0,A (Libre)
178,0,0,0,0,0,0,0.0,A (Libre)
179,0,0,0,0,0,0,0.0,A (Libre)
180,0,0,0,0,0,0,0.0,A (Libre)
181,0,0,0,0,0,0,0.0,A (Libre)
182,0,0,0,0,0,0,0.0,A (Libre)
183,0,0,0,0,0,0,0.0,A (Libre)
184,0,0,0,0,0,0,0.0,A (Libre)
185,0,0,0,0,0,0,0.0,A (Libre)
186,0,0,0,0,0,0,0.0,A (Libre)
187,0,0,0,0,0,0,0.0,A (Libre)
188,0,0,0,0,0,0,0.0,A (Libre)
189,0,0,0,0,0,0,0.0,A (Libre)
190,0,0,0,0,0,0,0.0,A (Libre)
191,0,0,0,0,0,0,0.0,A (Libre)
192,0,0,0,0,0,0,0.0,A (Libre)
193,0,0,0,0,0,0,0.0,A (Libre)
194,0,0,0,0,0,0,0.0,A (Libre)
195,0,0,0,0,0,0,0.0,A (Libre)
196,0,0,0,0,0,0,0.0,A (Libre)
197,1,1,0,0,0,0,56.32238164818376,F (Congestion)
198,1,1,0,0,0,0,56.32238164818376,F (Congestion)
199,1,1,0,0,0,0,56.32238164818376,F (Congestion)
200,1,1,0,0,0,0,56.32238164818376,F (Congestion)
201,0,0,0,0,0,0,0.0,A (Libre)
202,0,0,0,0,0,0,0.0,A (Libre)
203,0,0,0,0,0,0,0.0,A (Libre)
204,0,0,0,0,0,0,0.0,A (Libre)
205,0,0,0,0,0,0,0.0,A (Libre)
206,0,0,0,0,0,0,0.0,A (Libre)
207,0,0,0,0,0,0,0.0,A (Libre)
208,1,1,0,0,0,0,56.32238164818376,F (Congestion)
209,0,0,0,0,0,0,0.0,A (Libre)
210,0,0,0,0,0,0,0.0,A (Libre)
211,0,0,0,0,0,0,0.0,A (Libre)
212,0,0,0,0,0,0,0.0,A (Libre)
213,0,0,0,0,0,0,0.0,A (Libre)
214,0,0,0,0,0,0,0.0,A (Libre)
215,0,0,0,0,0,0,0.0,A (Libre)
216,0,0,0,0,0,0,0.0,A (Libre)
217,0,0,0,0,0,0,0.0,A (Libre)
218,0,0,0,0,0,0,0.0,A (Libre)
219,0,0,0,0,0,0,0.0,A (Libre)
220,0,0,0,0,0,0,0.0,A (Libre)
221,0,0,0,0,0,0,0.0,A (Libre)
222,0,0,0,0,0,0,0.0,A (Libre)
223,0,0,0,0,0,0,0.0,A (Libre)
224,0,0,0,0,0,0,0.0,A (Libre)
225,0,0,0,0,0,0,0.0,A (Libre)
226,0,0,0,0,0,0,0.0,A (Libre)
227,0,0,0,0,0,0,0.0,A (Libre)
228,0,0,0,0,0,0,0.0,A (Libre)
229,0,0,0,0,0,0,0.0,A (Libre)
230,0,0,0,0,0,0,0.0,A (Libre)
231,0,0,0,0,0,0,0.0,A (Libre)
232,0,0,0,0,0,0,0.0,A (Libre)
233,0,0,0,0,0,0,0.0,A (Libre)
234,0,0,0,0,0,0,0.0,A (Libre)
235,0,0,0,0,0,0,0.0,A (Libre)
236,0,0,0,0,0,0,0.0,A (Libre)
237,0,0,0,0,0,0,0.0,A (Libre)
238,0,0,0,0,0,0,0.0,A (Libre)
239,0,0,0,0,0,0,0.0,A (Libre)
240,0,0,0,0,0,0,0.0,A (Libre)
241,0,0,0,0,0,0,0.0,A (Libre)
242,0,0,0,0,0,0,0.0,A (Libre)
243,0,0,0,0,0,0,0.0,A (Libre)
244,0,0,0,0,0,0,0.0,A (Libre)
245,0,0,0,0,0,0,0.0,A (Libre)
246,0,0,0,0,0,0,0.0,A (Libre)
247,0,0,0,0,0,0,0.0,A (Libre)
248,0,0,0,0,0,0,0.0,A (Libre)
249,0,0,0,0,0,0,0.0,A (Libre)
250,0,0,0,0,0,0,0.0,A (Libre)
251,0,0,0,0,0,0,0.0,A (Libre)
252,0,0,0,0,0,0,0.0,A (Libre)
253,0,0,0,0,0,0,0.0,A (Libre)
254,0,0,0,0,0,0,0.0,A (Libre)
255,0,0,0,0,0,0,0.0,A (Libre)
256,0,0,0,0,0,0,0.0,A (Libre)
257,0,0,0,0,0,0,0.0,A (Libre)
258,0,0,0,0,0,0,0.0,A (Libre)
259,0,0,0,0,0,0,0.0,A (Libre)
260,0,0,0,0,0,0,0.0,A (Libre)
261,0,0,0,0,0,0,0.0,A (Libre)
262,0,0,0,0,0,0,0.0,A (Libre)
263,0,0,0,0,0,0,0.0,A (Libre)
264,0,0,0,0,0,0,0.0,A (Libre)
265,0,0,0,0,0,0,0.0,A (Libre)
266,0,0,0,0,0,0,0.0,A (Libre)
267,0,0,0,0,0,0,0.0,A (Libre)
268,0,0,0,0,0,0,0.0,A (Libre)
269,0,0,0,0,0,0,0.0,A (Libre)
270,0,0,0,0,0,0,0.0,A (Libre)
271,0,0,0,0,0,0,0.0,A (Libre)
272,0,0,0,0,0,0,0.0,A (Libre)
273,0,0,0,0,0,0,0.0,A (Libre)
274,0,0,0,0,0,0,0.0,A (Libre)
275,0,0,0,0,0,0,0.0,A (Libre)
276,0,0,0,0,0,0,0.0,A (Libre)
277,0,0,0,0,0,0,0.0,A (Libre)
278,0,0,0,0,0,0,0.0,A (Libre)
279,0,0,0,0,0,0,0.0,A (Libre)
280,0,0,0,0,0,0,0.0,A (Libre)
281,0,0,0,0,0,0,0.0,A (Libre)
282,0,0,0,0,0,0,0.0,A (Libre)
283,0,0,0,0,0,0,0.0,A (Libre)
284,0,0,0,0,0,0,0.0,A (Libre)
285,0,0,0,0,0,0,0.0,A (Libre)
286,0,0,0,0,0,0,0.0,A (Libre)
287,0,0,0,0,0,0,0.0,A (Libre)
288,0,0,0,0,0,0,0.0,A (Libre)
289,0,0,0,0,0,0,0.0,A (Libre)
290,0,0,0,0,0,0,0.0,A (Libre)
291,0,0,0,0,0,0,0.0,A (Libre)
292,0,0,0,0,0,0,0.0,A (Libre)
293,0,0,0,0,0,0,0.0,A (Libre)
294,0,0,0,0,0,0,0.0,A (Libre)
295,0,0,0,0,0,0,0.0,A (Libre)
296,0,0,0,0,0,0,0.0,A (Libre)
297,0,0,0,0,0,0,0.0,A (Libre)
298,0,0,0,0,0,0,0.0,A (Libre)
299,0,0,0,0,0,0,0.0,A (Libre)
300,0,0,0,0,0,0,0.0,A (Libre)
301,0,0,0,0,0,0,0.0,A (Libre)
302,0,0,0,0,0,0,0.0,A (Libre)
303,0,0,0,0,0,0,0.0,A (Libre)
304,0,0,0,0,0,0,0.0,A (Libre)
305,0,0,0,0,0,0,0.0,A (Libre)
306,0,0,0,0,0,0,0.0,A (Libre)
307,0,0,0,0,0,0,0.0,A (Libre)
308,0,0,0,0,0,0,0.0,A (Libre)
309,0,0,0,0,0,0,0.0,A (Libre)
310,0,0,0,0,0,0,0.0,A (Libre)
311,0,0,0,0,0,0,0.0,A (Libre)
312,0,0,0,0,0,0,0.0,A (Libre)
313,0,0,0,0,0,0,0.0,A (Libre)
314,0,0,0,0,0,0,0.0,A (Libre)
