Frame,Ocupacion_Actual,Flujo_Acumulado,Densidad,LOS,Inst_Coches,Inst_Motos,Inst_Bicis,Acum_Coches,Acum_Motos,Acum_Bicis,Acum_Buses,Acum_Camiones,Incidentes_Total,Incidentes_Frame
234,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,2,0
235,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,2,0
236,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,2,0
237,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,2,0
238,1,0,92.00635211899109,F,0,1,0,0,0,0,0,0,2,0
239,2,0,184.01270423798218,F,0,2,0,0,0,0,0,0,2,0
240,0,0,0.0,A,0,0,0,0,0,0,0,0,2,0
241,2,0,184.01270423798218,F,0,2,0,0,0,0,0,0,3,0
242,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
243,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
244,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
245,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
246,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
247,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
248,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
249,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
250,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
251,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
252,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
253,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
254,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
255,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
256,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,3,0
257,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
258,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,3,0
259,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,3,0
260,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,3,0
261,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,4,1
262,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
263,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
264,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
265,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
266,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
267,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
268,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
269,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
270,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,4,0
271,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
272,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,4,0
273,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,1
274,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
275,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
276,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
277,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
278,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
279,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
280,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
281,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
282,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
283,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
284,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
285,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
286,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
287,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
288,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
289,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
290,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
291,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
292,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
293,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
294,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
295,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,5,0
296,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
297,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
298,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
299,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,5,0
300,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,6,0
301,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,7,1
302,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,7,0
303,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,7,0
304,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,7,0
305,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,7,0
306,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,7,0
307,4,1,368.02540847596435,F,0,4,0,0,1,0,0,0,8,1
308,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,8,0
309,3,1,276.01905635697324,F,1,2,0,0,1,0,0,0,9,1
310,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,9,0
311,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,9,0
312,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,9,0
313,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,9,0
314,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,9,0
315,5,1,460.0317605949554,F,1,4,0,0,1,0,0,0,10,1
316,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,10,0
317,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,11,1
318,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,11,0
319,3,1,276.01905635697324,F,0,3,0,0,1,0,0,0,11,0
320,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,11,0
321,3,1,276.01905635697324,F,1,2,0,0,1,0,0,0,11,0
322,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,11,0
323,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,11,0
324,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,11,0
325,3,1,276.01905635697324,F,1,2,0,0,1,0,0,0,12,1
326,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
327,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
328,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
329,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
330,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
331,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
332,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
333,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
334,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
335,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,12,0
336,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,1
337,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
338,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
339,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
340,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
341,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
342,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
343,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
344,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
345,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
346,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
347,2,1,184.01270423798218,F,0,2,0,0,1,0,0,0,13,0
348,1,1,92.00635211899109,F,0,1,0,0,1,0,0,0,13,0
349,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
350,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
351,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
352,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
353,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
